Time,well,value,mrna,buffer,buffer_conc,repeat,comment
0.024166666666666666,B2,414,no,DTT,.5 mM,R1,
0.07416666666666667,B2,614,no,DTT,.5 mM,R1,
0.12416666666666668,B2,616,no,DTT,.5 mM,R1,
0.17416666666666666,B2,700,no,DTT,.5 mM,R1,
0.22416666666666665,B2,532,no,DTT,.5 mM,R1,
0.27416666666666667,B2,500,no,DTT,.5 mM,R1,
0.32416666666666666,B2,566,no,DTT,.5 mM,R1,
0.37416666666666665,B2,639,no,DTT,.5 mM,R1,
0.4241666666666666,B2,603,no,DTT,.5 mM,R1,
0.4741666666666667,B2,551,no,DTT,.5 mM,R1,
0.5241666666666667,B2,696,no,DTT,.5 mM,R1,
0.5741666666666667,B2,539,no,DTT,.5 mM,R1,
0.6241666666666668,B2,632,no,DTT,.5 mM,R1,
0.6741666666666667,B2,382,no,DTT,.5 mM,R1,
0.7241666666666667,B2,510,no,DTT,.5 mM,R1,
0.7741666666666667,B2,524,no,DTT,.5 mM,R1,
0.8241666666666667,B2,474,no,DTT,.5 mM,R1,
0.8741666666666668,B2,472,no,DTT,.5 mM,R1,
0.9241666666666668,B2,500,no,DTT,.5 mM,R1,
0.9741666666666667,B2,652,no,DTT,.5 mM,R1,
1.0241666666666667,B2,549,no,DTT,.5 mM,R1,
1.0741666666666667,B2,417,no,DTT,.5 mM,R1,
1.1241666666666668,B2,645,no,DTT,.5 mM,R1,
1.1741666666666666,B2,564,no,DTT,.5 mM,R1,
1.2241666666666666,B2,492,no,DTT,.5 mM,R1,
1.2741666666666667,B2,573,no,DTT,.5 mM,R1,
1.3241666666666667,B2,465,no,DTT,.5 mM,R1,
1.3741666666666665,B2,540,no,DTT,.5 mM,R1,
1.4241666666666666,B2,577,no,DTT,.5 mM,R1,
1.4741666666666666,B2,498,no,DTT,.5 mM,R1,
1.524166666666667,B2,269,no,DTT,.5 mM,R1,
1.5741666666666667,B2,530,no,DTT,.5 mM,R1,
1.6241666666666668,B2,529,no,DTT,.5 mM,R1,
1.6741666666666668,B2,577,no,DTT,.5 mM,R1,
1.7241666666666666,B2,613,no,DTT,.5 mM,R1,
1.7741666666666664,B2,523,no,DTT,.5 mM,R1,
1.8241666666666667,B2,612,no,DTT,.5 mM,R1,
1.874166666666667,B2,473,no,DTT,.5 mM,R1,
1.9241666666666668,B2,554,no,DTT,.5 mM,R1,
1.9741666666666666,B2,676,no,DTT,.5 mM,R1,
2.0241666666666664,B2,638,no,DTT,.5 mM,R1,
2.0741666666666667,B2,480,no,DTT,.5 mM,R1,
2.1241666666666665,B2,520,no,DTT,.5 mM,R1,
2.174166666666667,B2,686,no,DTT,.5 mM,R1,
2.2241666666666666,B2,403,no,DTT,.5 mM,R1,
2.274166666666667,B2,584,no,DTT,.5 mM,R1,
2.3241666666666667,B2,435,no,DTT,.5 mM,R1,
2.3741666666666665,B2,627,no,DTT,.5 mM,R1,
2.424166666666667,B2,822,no,DTT,.5 mM,R1,
2.4741666666666666,B2,548,no,DTT,.5 mM,R1,
2.524166666666667,B2,522,no,DTT,.5 mM,R1,
2.5741666666666667,B2,590,no,DTT,.5 mM,R1,
2.6241666666666665,B2,583,no,DTT,.5 mM,R1,
2.674166666666667,B2,605,no,DTT,.5 mM,R1,
2.7241666666666666,B2,503,no,DTT,.5 mM,R1,
2.774166666666667,B2,487,no,DTT,.5 mM,R1,
2.8241666666666667,B2,489,no,DTT,.5 mM,R1,
2.8741666666666665,B2,495,no,DTT,.5 mM,R1,
2.924166666666667,B2,493,no,DTT,.5 mM,R1,
2.9741666666666666,B2,376,no,DTT,.5 mM,R1,
3.0241666666666664,B2,639,no,DTT,.5 mM,R1,
3.0741666666666667,B2,481,no,DTT,.5 mM,R1,
3.1241666666666665,B2,502,no,DTT,.5 mM,R1,
3.1741666666666664,B2,512,no,DTT,.5 mM,R1,
3.224166666666666,B2,429,no,DTT,.5 mM,R1,
3.274166666666667,B2,441,no,DTT,.5 mM,R1,
3.3241666666666667,B2,619,no,DTT,.5 mM,R1,
3.3741666666666665,B2,638,no,DTT,.5 mM,R1,
3.4241666666666672,B2,456,no,DTT,.5 mM,R1,
3.474166666666667,B2,567,no,DTT,.5 mM,R1,
3.524166666666667,B2,482,no,DTT,.5 mM,R1,
3.5741666666666667,B2,558,no,DTT,.5 mM,R1,
3.6241666666666665,B2,670,no,DTT,.5 mM,R1,
3.674166666666667,B2,484,no,DTT,.5 mM,R1,
3.7241666666666666,B2,482,no,DTT,.5 mM,R1,
3.774166666666667,B2,530,no,DTT,.5 mM,R1,
3.8241666666666667,B2,434,no,DTT,.5 mM,R1,
3.8741666666666665,B2,444,no,DTT,.5 mM,R1,
3.9241666666666664,B2,469,no,DTT,.5 mM,R1,
3.974166666666666,B2,519,no,DTT,.5 mM,R1,
4.024166666666667,B2,500,no,DTT,.5 mM,R1,
4.074166666666667,B2,446,no,DTT,.5 mM,R1,
4.1241666666666665,B2,582,no,DTT,.5 mM,R1,
4.174166666666666,B2,485,no,DTT,.5 mM,R1,
4.224166666666667,B2,601,no,DTT,.5 mM,R1,
4.274166666666667,B2,584,no,DTT,.5 mM,R1,
4.324166666666667,B2,625,no,DTT,.5 mM,R1,
4.3741666666666665,B2,680,no,DTT,.5 mM,R1,
4.424166666666666,B2,416,no,DTT,.5 mM,R1,
4.474166666666667,B2,387,no,DTT,.5 mM,R1,
4.524166666666667,B2,396,no,DTT,.5 mM,R1,
4.574166666666667,B2,611,no,DTT,.5 mM,R1,
4.6241666666666665,B2,545,no,DTT,.5 mM,R1,
4.674166666666666,B2,608,no,DTT,.5 mM,R1,
4.724166666666667,B2,346,no,DTT,.5 mM,R1,
4.774166666666667,B2,447,no,DTT,.5 mM,R1,
4.824166666666667,B2,556,no,DTT,.5 mM,R1,
4.8741666666666665,B2,621,no,DTT,.5 mM,R1,
4.924166666666666,B2,668,no,DTT,.5 mM,R1,
4.974166666666667,B2,842,no,DTT,.5 mM,R1,
5.024166666666667,B2,540,no,DTT,.5 mM,R1,
5.074166666666667,B2,414,no,DTT,.5 mM,R1,
5.1241666666666665,B2,357,no,DTT,.5 mM,R1,
5.174166666666666,B2,630,no,DTT,.5 mM,R1,
5.224166666666667,B2,537,no,DTT,.5 mM,R1,
5.274166666666667,B2,554,no,DTT,.5 mM,R1,
5.324166666666667,B2,530,no,DTT,.5 mM,R1,
5.3741666666666665,B2,557,no,DTT,.5 mM,R1,
5.424166666666666,B2,498,no,DTT,.5 mM,R1,
5.474166666666667,B2,560,no,DTT,.5 mM,R1,
5.524166666666667,B2,576,no,DTT,.5 mM,R1,
5.574166666666667,B2,368,no,DTT,.5 mM,R1,
5.6241666666666665,B2,515,no,DTT,.5 mM,R1,
5.674166666666666,B2,607,no,DTT,.5 mM,R1,
5.724166666666667,B2,416,no,DTT,.5 mM,R1,
5.774166666666667,B2,682,no,DTT,.5 mM,R1,
5.824166666666667,B2,440,no,DTT,.5 mM,R1,
5.8741666666666665,B2,545,no,DTT,.5 mM,R1,
5.924166666666666,B2,544,no,DTT,.5 mM,R1,
5.974166666666667,B2,460,no,DTT,.5 mM,R1,
6.024166666666666,B2,541,no,DTT,.5 mM,R1,
6.074166666666667,B2,543,no,DTT,.5 mM,R1,
