Time,Temp C,well,value,na,na_conc,chem,chem_conc,date,construct,system
1.175,37.0,B19,37,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
1.2583333333333333,37.1,B19,43,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
1.3416666666666666,37.0,B19,40,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
1.425,37.0,B19,42,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
1.5083333333333333,37.0,B19,37,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
1.5916666666666666,37.0,B19,42,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
1.675,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
1.7583333333333333,37.0,B19,31,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
1.8416666666666666,37.0,B19,50,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
1.925,37.0,B19,38,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.0083333333333333,37.0,B19,29,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.091666666666667,37.0,B19,36,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.175,37.0,B19,37,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.2583333333333333,37.0,B19,36,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.341666666666667,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.425,37.0,B19,39,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.5083333333333333,37.0,B19,36,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.591666666666667,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.675,37.1,B19,32,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.7583333333333333,37.0,B19,34,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.841666666666667,37.0,B19,42,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
2.925,37.0,B19,38,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.0083333333333333,37.0,B19,40,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.091666666666667,37.0,B19,40,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.175,37.0,B19,35,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.2583333333333333,37.0,B19,44,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.341666666666667,37.0,B19,48,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.425,37.0,B19,34,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.5083333333333333,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.591666666666667,37.0,B19,39,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.675,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.7583333333333333,37.0,B19,34,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.841666666666667,37.0,B19,43,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
3.925,37.0,B19,37,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.008333333333334,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.091666666666667,37.1,B19,37,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.175,37.0,B19,47,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.258333333333334,37.0,B19,38,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.341666666666667,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.425,37.0,B19,46,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.508333333333334,37.0,B19,40,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.591666666666667,37.0,B19,48,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.675,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.758333333333334,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.841666666666667,37.0,B19,39,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
4.925,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.008333333333334,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.091666666666667,37.0,B19,44,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.175,37.0,B19,47,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.258333333333334,37.0,B19,34,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.341666666666667,37.0,B19,44,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.425,37.0,B19,34,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.508333333333334,37.0,B19,44,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.591666666666667,37.0,B19,54,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.675,37.0,B19,38,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.758333333333334,37.0,B19,39,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.841666666666667,37.0,B19,39,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
5.925,37.0,B19,34,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.008333333333334,37.1,B19,48,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.091666666666667,37.0,B19,43,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.175,37.0,B19,43,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.258333333333334,37.0,B19,43,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.341666666666667,37.0,B19,37,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.425,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.508333333333334,37.0,B19,38,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.591666666666667,37.0,B19,40,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.675,37.0,B19,44,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.758333333333334,37.0,B19,39,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.841666666666667,37.0,B19,35,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
6.925,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.008333333333334,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.091666666666667,37.0,B19,44,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.175,37.0,B19,51,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.258333333333334,37.0,B19,48,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.341666666666667,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.425,37.0,B19,43,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.508333333333334,37.0,B19,43,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.591666666666667,37.0,B19,47,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.675,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.758333333333334,37.0,B19,36,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.841666666666667,37.0,B19,35,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
7.925,37.0,B19,51,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.008333333333333,37.0,B19,46,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.091666666666667,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.175,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.258333333333333,37.0,B19,39,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.341666666666667,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.425,37.0,B19,43,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.508333333333333,37.0,B19,41,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.591666666666667,37.0,B19,43,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.675,37.0,B19,42,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.758333333333333,37.0,B19,46,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.841666666666667,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
8.925,37.0,B19,50,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
9.008333333333333,37.0,B19,52,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
9.091666666666667,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
9.175,37.0,B19,44,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
9.258333333333333,37.0,B19,38,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
9.341666666666667,37.0,B19,37,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
9.425,37.0,B19,49,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
9.508333333333333,37.0,B19,45,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
9.591666666666667,37.0,B19,46,,,snarf-5f,10uM,2023.09.09,9.04,snarf-5f
