Time,Temp C,well,value,na,na_conc,chem,chem_conc,date,construct,system
0.008333333333333333,36.9,B18,8887,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.09166666666666666,37.0,B18,14205,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.175,37.0,B18,14672,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.25833333333333336,37.0,B18,14459,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.3416666666666667,37.0,B18,14302,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.425,37.0,B18,13985,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.5083333333333333,37.0,B18,14068,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.5916666666666667,37.0,B18,14113,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.675,37.0,B18,13920,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.7583333333333333,37.0,B18,13692,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.8416666666666667,37.0,B18,13982,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
0.925,37.0,B18,13841,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.0083333333333333,37.0,B18,13926,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.0916666666666666,37.0,B18,13799,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.175,37.0,B18,13861,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.2583333333333333,37.0,B18,13857,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.3416666666666666,37.0,B18,13943,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.425,37.0,B18,13849,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.5083333333333333,37.0,B18,14004,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.5916666666666666,37.0,B18,13760,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.675,37.0,B18,13716,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.7583333333333333,37.0,B18,13830,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.8416666666666666,37.0,B18,13721,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
1.925,37.0,B18,13854,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
2.0083333333333333,37.0,B18,13972,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
2.091666666666667,37.0,B18,13808,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
2.175,37.0,B18,13910,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
2.2583333333333333,37.0,B18,13794,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
2.341666666666667,37.0,B18,13839,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
2.425,37.0,B18,13861,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
2.5083333333333333,37.0,B18,13695,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
2.591666666666667,37.0,B18,13691,,,snarf-5f,10uM,2023.09.09,9.51,snarf-5f
