,MGapt,DTT,MGapt_altered,mgapt,MGdye,time,Measured
0,0.099,1000.0,0.12100000000000001,0.0,9.78,0.0,0.11715
1,0.058047520940773145,908.759331818554,0.161924241074364,1.8717201968077537e-05,9.780028237984865,300.0,0.08233615710192775
2,0.03594076572759047,825.85783975696,0.18401362740513186,2.3405678583827954e-05,9.780045606867278,600.0,0.06354280983836025
3,0.02345154955703142,750.5262434743759,0.19648345937953857,2.750016149961962e-05,9.780064991063425,900.0,0.05292406846396221
4,0.01610850666480129,682.069913988931,0.20380494469972912,3.138763313857554e-05,9.780086548635461,1200.0,0.04667924836976066
5,0.011641838517735797,619.8596610315045,0.2082477113498586,3.529045933856646e-05,9.780110450132414,1500.0,0.042878995220214586
6,0.008849304897264026,563.3246901355062,0.2110138065184468,3.934781727737662e-05,9.780136888584208,1800.0,0.04050137587503104
7,0.0070689923905310256,511.94677697063315,0.21276492461738794,4.365568158089469e-05,9.78016608299211,2100.0,0.03898373108313922
8,0.00592344454482311,465.25523021639293,0.21387827488753197,4.8288004406861814e-05,9.780198280567717,2400.0,0.03800518577795291
9,0.00519047602585906,422.82243386364024,0.2145757669461719,5.3306855106901236e-05,9.780233757028183,2700.0,0.03737684106778484
10,0.004735559798385457,384.25985452222994,0.21499162073974087,5.876993778880773e-05,9.780272819462308,3000.0,0.03698430290934659
11,0.004475224454090202,349.2144423864592,0.21520896928714195,6.473251305397306e-05,9.78031580625937,3300.0,0.0367565698471615
12,0.004356602003728545,317.365375392038,0.2152803059958636,7.125254922447466e-05,9.780363092001242,3600.0,0.03664864790310808
13,0.004345709880749925,288.42110920225707,0.21523920505855723,7.838600475808674e-05,9.780415085061488,3900.0,0.03663159063953351
14,0.004420501449779444,262.1167007671986,0.21510726459140866,8.619537026451539e-05,9.780472233956175,4200.0,0.036686591138490744
15,0.004566690719260871,238.21137602281152,0.21489826119442246,9.476241648316523e-05,9.780535048079527,4500.0,0.03680142989842424
16,0.004775189615436613,216.48632581181462,0.21462077728171064,0.00010412442014180649,9.780604033100898,4800.0,0.0369683062076932
17,0.005040449353619144,196.7426999801281,0.21427973592692534,0.00011439632391025706,9.780679814715931,5100.0,0.03718240974265794
18,0.005359448815070636,178.79978748036223,0.2138775309392012,0.0001256444535598468,9.780763020242718,5400.0,0.037441078455950814
19,0.005730996938459859,162.49336047785962,0.21341466892619387,0.00013794094639668563,9.78085433413183,5700.0,0.03774319727738894
20,0.006155285028968799,147.67416983875654,0.21289017055774734,0.0001514072700204277,9.780954544409784,6000.0,0.0380888106126309
21,0.006633600833230715,134.20657468076493,0.21230192780766569,0.00016613683043023084,9.781064471355604,6300.0,0.03847889000438057
22,0.007168127804051921,121.96731146973083,0.21164685635158006,0.00018223984848803518,9.781185015840872,6600.0,0.03891515625678893
23,0.007761815375401696,110.84436230466446,0.21092103010586716,0.0001998339840742728,9.781317154515257,6900.0,0.039399969891281764
24,0.008418292040737728,100.73591739258157,0.21011976329631113,0.00021904463865555894,9.781461944659519,7200.0,0.03993625653518439
25,0.009141812888351385,91.5494582407779,0.20923765893489607,0.0002400042664112512,9.78162052817329,7500.0,0.0405274617285858
26,0.009937225154005499,83.20090389285185,0.20826863373377089,0.00026285736394320253,9.78179414110868,7800.0,0.04117752021407113
27,0.010809946178504047,75.61384258167823,0.20720596493565263,0.0002877318405746541,9.781984088882187,8100.0,0.04189084091885194
28,0.01176596344445199,68.71883177167159,0.2060421574154777,0.00031486582164026884,9.782191879136638,8400.0,0.042672287056773645
29,0.012811856472411143,62.452761067673734,0.20476926870286258,0.00034425177412843817,9.782418874814455,8700.0,0.04352724677784053
30,0.013954626701151367,56.75828198168394,0.2033785475691535,0.0003761977640461259,9.782666825719422,9000.0,0.044461408836524385
31,0.015201973202168687,51.58327057344426,0.20186060381024484,0.0004108261551128189,9.782937422977314,9300.0,0.045481063773705414
32,0.01656209260478389,46.88036003503365,0.2002054136886395,0.00044830437536008753,9.783232493696305,9600.0,0.04659290465807982
33,0.018043719070355697,42.60650617390364,0.19840231824519394,0.0004887975753361197,9.78355396267418,9900.0,0.04780406680713478
34,0.01965610527876973,38.72258711619254,0.19644004820247507,0.0005324651642153179,9.783903846508487,10200.0,0.04912211250914099
35,0.02140899352123614,35.19305171023415,0.19430676203379924,0.0005794563239865126,9.784284244434698,10500.0,0.05055500782630602
36,0.02331257217215995,31.985591391448377,0.19199010158256638,0.0006299055875815455,9.784697326235003,10800.0,0.052111087409544905
37,0.025377416567576347,29.070844552629726,0.189477273044237,0.0006839218716866596,9.785145310377976,11100.0,0.05379900752421189
38,0.02761439861167856,26.422127739651817,0.18675514478457958,0.0007415981336587743,9.785630456593243,11400.0,0.0556276703293655
39,0.030034652619563246,24.01519123827281,0.18381032944290912,0.0008029697768662537,9.78615501792867,11700.0,0.057606202035999615
40,0.032649209913550685,21.827996914372175,0.18062961347041728,0.0008680209566158945,9.78672117660661,12000.0,0.05974365193411328
41,0.03546918819797778,19.84051611733766,0.17719970653306696,0.0009367093025616054,9.787331105259534,12300.0,0.06204914417793782
42,0.038505297352384664,18.034547191353294,0.17350790863599366,0.001008888529522388,9.7879867940022,12600.0,0.06453148364778372
43,0.041767704715844074,16.393546968482642,0.16954224617771818,0.0010843333115212151,9.788690049097015,12900.0,0.0671990416425018
44,0.04526572408673032,14.902480595821176,0.16529186773546747,0.0011627149240088259,9.789442408168378,13200.0,0.07005950424705043
45,0.049007471934329624,13.547683214964678,0.16074747104662343,0.0012435848909011192,9.790245057009622,13500.0,0.07311959259132314
